Waypoint,Trip 1,Trip 2,Trip 3,Trip 4
28-29-YA LINIYA V.O.,10:13:10,10:29:20,10:43:20,10:57:30
22-23-YA LINIYA V.O.,10:14:00,10:30:10,10:44:10,10:58:30
CITY ELECTRIC TRANSPORTATION MUSEUM,10:16:40,10:33:10,10:47:10,11:00:50
12-13-YA LINIYA V.O.,10:18:50,10:35:10,10:48:50,11:02:30
"""VASILEOSTROVSKAYA"" SUBWAY STATION",10:20:50,10:37:50,10:51:40,11:05:00
1-YA and KADETSKAYA LINIYA,10:22:20,10:39:30,10:53:00,11:06:30
"1-YA AND KADETSKAYA LINIYA. ""SPORTIVNAYA"" SUBWAY STATION",10:23:30,10:40:40,10:54:10,00:00:00
"""SPORTIVNAYA"" SUBWAY STATION",10:24:30,10:42:10,10:55:50,00:00:00
KRONVERKSKIY PROSPEKT,10:26:10,10:43:20,10:57:20,00:00:00
ZVERINSKAYA STR.,10:27:20,10:44:50,10:59:00,00:00:00
VVEDENSKAYA STR.,10:29:00,10:45:50,11:00:00,00:00:00
SYTNYY MARKET,10:30:00,10:46:50,11:01:10,11:14:30
"""GORKOVSKAYA"" SUBWAY STATION",10:31:30,10:48:00,11:02:30,11:15:50
TROITSKAYA SQUARE,10:33:10,10:49:20,11:03:30,11:17:30
CHAPAYEV STR.,10:34:30,10:51:00,11:05:10,11:19:00
